TYPE,YEAR,MONTH,DOW,HOLIDAY_YN,TIME,REGION,DONG,GUBUN,ADDR,LO,LA,H_DONG,REG_CT,LABEL
화물4톤이하,2020,6,월,0,21,향우공인중개사,도마동,생활불편신고,대전 서구 도마로 60 삼정하이츠,127.376921,36.322062,도마1동,24,3.상습
승용,2020,6,월,0,21,귀빈장마트,도마동,생활불편신고,대전 서구 도마로 33,127.373953,36.322641,도마1동,31,3.상습
승용,2020,6,화,0,2,대도집,월평동,생활불편신고,대전 서구 월평중로24번길 22,127.365159,36.356527,월평1동,73,3.상습
승용,2020,6,화,0,9,아이비에스빌딩,탄방동,안전신문고,대전 서구 계룡로509번길 45,127.382814,36.345858,탄방동,22,3.상습
승용,2020,6,화,0,12,캐피탈타워웨딩,둔산동,생활불편신고,대전 서구 한밭대로 797,127.38744,36.358355,둔산2동,5,2.준상습
승용,2020,6,화,0,13,행복한교회,복수동,생활불편신고,대전 서구 복수남로36번길 21 행복한침례교회,127.377334,36.299497,복수동,6,2.준상습
승용,2020,6,화,0,19,이화약국,관저동,안전신문고,대전 서구 관저로 157 하이존,127.339747,36.299349,관저2동,34,3.상습
승용,2020,6,화,0,19,시청역5번출구,둔산동,생활불편신고,대전광역시 서구 둔산동 1462,127.38847,36.351989,둔산1동,9,2.준상습
승용,2020,6,화,0,19,시청역5번출구,둔산동,생활불편신고,대전광역시 서구 둔산동 1462,127.38847,36.351989,둔산1동,9,2.준상습
승용,2020,6,화,0,21,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,6,수,0,0,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,수,0,0,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,6,수,0,0,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
