INDEX,STD_DATE,TCKT_NMBR,TP_CR,TCKT_ADDR,DONG,TW_CR,LA,LO
127,2018-03-28,1,자동차,대전시 서구 탄방동 765-1 은새유치원 건너편,탄방동,N,36.343729,127.387654
128,2018-03-29,1,자동차,대전시 서구 도마동 111-3 도마중학교 밑 담벼락,도마2동,N,36.318684,127.372103
129,2018-03-29,1,자동차,대전시 서구 월평북로 11 월평주공3단지 301동 뒤,월평2동,Y,36.363501,127.369938
130,2018-03-29,1,자동차,대전시 서구 갈마동 1220 담벼락,갈마2동,N,36.343415,127.37401
131,2018-03-29,1,자동차,대전시 서구 월평북로 11 월평주공3단지 304동 306동 사이,월평2동,Y,36.363565,127.370149
132,2018-03-29,1,자동차,대전 서구 둔산중로 19,탄방동,N,36.348192,127.386149
133,2018-03-29,1,자동차,대전시 서구 갈마동 1220 담벼락,갈마2동,Y,36.343415,127.37401
134,2018-04-02,1,자동차,대전시 서구 청사로 70 누리아파트  103동 지하주차장 내,월평3동,N,36.359018,127.36925
135,2018-04-02,1,자동차,대전시 서구 월평동 566,월평1동,N,36.356759,127.364822
136,2018-04-02,1,자동차,대전시 서구 가장동 52-1,가장동,N,36.333443,127.388793
137,2018-04-02,1,자동차,대전시 서구 월평동 25-31 중문교회,월평1동,N,36.351796,127.363593
138,2018-04-02,1,자동차,대전시 서구 도안동 879번지 샤인빌딩 건물지하1층 주차장 내,가수원동,N,36.330291,127.340199
139,2018-04-02,1,자동차,대전시 서구 둔산중로 19 샤크존 5층 주차장,탄방동,N,36.348192,127.386149
140,2018-04-02,1,자동차,대전시 서구 용문동 243-24 현진세레빌,용문동,N,36.338455,127.394335
141,2018-04-11,1,자동차,대전시 서구 탄방동 778 젠트리움 아파트 지상1층 건물 뒤,탄방동,N,36.343857,127.389737
142,2018-04-12,1,자동차,대전시 서구 가수원동 776,가수원동,N,36.300585,127.351394
143,2018-04-12,1,자동차,대전시 서구 관저로 131 코다리냉면 뒤 주차장,관저2동,N,36.299107,127.33662
144,2018-04-17,1,자동차,대전시 서구 가수원동 1065,가수원동,N,36.310572,127.351757
145,2018-04-17,1,자동차,대전 서구 도안동로 123 도안리슈빌,가수원동,N,36.315566,127.346904
146,2018-04-17,1,자동차,대전시 서구 월평로87번길 29 앞,월평1동,N,36.357563,127.366888
147,2018-04-17,1,자동차,대전시 서구 월평서로 25번길 64,월평1동,N,36.353756,127.354262
148,2018-04-17,1,자동차,대전시 서구 월평동 306 갑천중학교 황실타운 사이,월평3동,N,36.36164,127.369151
149,2018-04-17,1,자동차,대전시 서구 갈마동 390-24 건강주택 옆,갈마1동,N,36.344356,127.36616
150,2018-04-17,1,자동차,대전시 서구 관저남로12번길 15-17,관저2동,N,36.294359,127.336972
151,2018-04-17,1,자동차,대전시 서구 갈마동 1418번지 큰마을아파트 119동 지하4층 주차장,갈마2동,N,36.344162,127.377179
152,2018-04-18,1,자동차,대전시 서구 가수원동 641-41 가수원성당 앞 주차공터,가수원동,N,36.299299,127.350269
153,2018-04-18,1,자동차,대전시 서구 탄방동 1330 명궁빌라 담벼락,탄방동,N,36.347957,127.400277
154,2018-04-18,1,자동차,대전시 서구 갈마동 403-5 햇살마을 원룸 주차장,갈마2동,N,36.343373,127.37274
155,2018-04-18,1,자동차,대전시 서구 괴정동 415 괴정육교 아래,괴정동,N,36.340484,127.373555
156,2018-04-18,1,자동차,대전시 서구 가장동 57-5,가장동,N,36.33503,127.387143
157,2018-04-25,1,자동차,대전시 서구 갈마동 405-1,갈마2동,N,36.345091,127.370432
158,2018-04-25,1,자동차,대전시 서구 내동 160-9,내동,N,36.335023,127.37195
159,2018-04-26,1,자동차,대전시 서구 관저북로 14 원앙마을아파트 410동 앞,관저1동,Y,36.303195,127.339369
160,2018-04-26,1,자동차,"대전 서구 정림서로 181, 게이트볼장, 테니스장 옆 도로",정림동,N,36.30327,127.363052
161,2018-04-26,1,자동차,대전시 서구 내동 163-1 kt연구원 부근,내동,N,36.335938,127.371129
162,2018-04-26,1,자동차,대전 서구 복수동로51번길 43,복수동,N,36.299976,127.381194
163,2018-04-26,1,자동차,대전시 서구 변동 39-28,변동,N,36.325293,127.38654
164,2018-04-26,1,자동차,대전시 서구 배재로46번길 33(도마동 317-23) 태령빌라 앞,도마2동,Y,36.313216,127.370777
165,2018-04-26,1,자동차,대전 서구 유등로 285 버드내중학교 후문 앞,도마1동,N,36.316454,127.383513
166,2018-04-26,1,자동차,대전시 서구 탄방동 65-13,탄방동,N,36.34384,127.395151
167,2018-04-26,1,자동차,대전시 서구 관저북로 14 원앙마을아파트 410동 앞,관저1동,Y,36.303195,127.339369
168,2018-05-02,1,자동차,대전시 서구 도안동 907,가수원동,N,36.331544,127.341792
169,2018-05-02,1,자동차,대전시 서구 괴정동 53-46 CU편의점 앞,괴정동,N,36.338379,127.386471
170,2018-05-03,1,자동차,대전시 서구 남선로 25 옆(서구노인복지회관 앞 골목),탄방동,N,36.345757,127.39654
171,2018-05-03,1,자동차,"대전시 서구 월평북로 11, 301동 뒤",월평2동,N,36.363639,127.370494
172,2018-05-03,1,자동차,대전시 서구 도마동 359-12,도마2동,N,36.318734,127.371234
173,2018-05-03,1,자동차,대전시 서구 남선로 25 옆(서구노인복지회관 앞 골목),탄방동,N,36.345757,127.39654
174,2018-05-08,1,자동차,"대전시 서구 가수원동 191-1번지, 가수원교회 입구 옆",가수원동,N,36.304895,127.355122
175,2018-05-08,1,자동차,대전시 서구 월평동 1414번지,월평1동,N,36.353396,127.354388
176,2018-05-08,1,자동차,대전시 서구 둔산중로 14번길 36 하이플러스오피스텔 지하3층 주차장,탄방동,N,36.347647,127.388849
177,2018-05-08,1,자동차,대전시 서구 월평새뜸로4번길 79,월평1동,Y,36.353728,127.357494
178,2018-05-08,1,자동차,대전시 서구 조달청길137,도마1동,Y,36.31941,127.379904
179,2018-05-11,1,자동차,대전시 서구 도마동 71-9번지 앞,도마1동,N,36.321434,127.379175
180,2018-05-11,1,자동차,대전시 서구 갈마동 266-20,갈마1동,N,36.353458,127.3711
181,2018-05-11,1,자동차,대전시 서구 월평동 1275-0,월평1동,Y,36.354403,127.355716
182,2018-05-11,1,자동차,대전시 서구 월평동 1276 공영주차장 내,월평1동,N,36.354215,127.355874
183,2018-05-14,1,자동차,대전 서구 가수원로 105 가수원주민센터복사,가수원동,N,36.303476,127.349366
184,2018-05-15,1,자동차,대전 서구 복수중로 27 동방여자중학교,복수동,N,36.306459,127.374718
185,2018-05-15,1,자동차,대전 서구 복수중로 27 동방여자중학교,복수동,N,36.306459,127.374718
186,2018-05-18,1,자동차,대전시 서구 갈마동 330-16,갈마1동,N,36.349055,127.365086
187,2018-05-21,1,자동차,대전시 서구 월평동 1315번지,월평1동,N,36.353626,127.355299
188,2018-05-23,1,자동차,대전 서구 괴정로 72,괴정동,N,36.339968,127.381735
189,2018-05-23,1,자동차,대전 서구 관저동 1419,관저2동,N,36.299725,127.342483
190,2018-05-23,1,자동차,대전 서구 문정로40번길 64,탄방동,N,36.34368,127.38341
191,2018-05-23,1,자동차,대전시 서구 정림동 35-1번지,정림동,N,36.301793,127.370123
192,2018-05-23,1,자동차,대전시 서구 정림동 127-1 공영주차장 내,정림동,N,36.305506,127.368312
193,2018-05-23,1,자동차,대전시 서구 정림동 127-1 공영주차장 내,정림동,N,36.305506,127.368312
194,2018-05-23,1,자동차,대전시 서구 갈마동 355-16번지,갈마1동,N,36.347662,127.364072
195,2018-05-23,1,자동차,"대전시 서구 관저로 177-43, 5층",관저2동,N,36.299701,127.341459
196,2018-05-24,1,자동차,대전시 서구 갈마동 333-8번지,갈마1동,N,36.349484,127.366152
197,2018-05-24,1,자동차,"대전시 서구 탄방동 한가람아파트 7동, 8동 사이",탄방동,N,36.348255,127.391418
198,2018-05-24,1,자동차,대전시 서구 정림동 481번지(백목련아파트 앞 천변),정림동,Y,36.299439,127.362972
199,2018-05-25,1,자동차,대전시 서구 가장로 77,괴정동,N,36.335877,127.383617
200,2018-05-28,1,자동차,대전광역시 서구 계룡로264번길 43 신도칼국수 옆,월평1동,N,36.353205,127.360863
